,Country/Region,Date,confirmed,deaths
71680,India,2020-01-22,0,0
71681,India,2020-01-23,0,0
71682,India,2020-01-24,0,0
71683,India,2020-01-25,0,0
71684,India,2020-01-26,0,0
71685,India,2020-01-27,0,0
71686,India,2020-01-28,0,0
71687,India,2020-01-29,0,0
71688,India,2020-01-30,1,0
71689,India,2020-01-31,1,0
71690,India,2020-02-01,1,0
71691,India,2020-02-02,2,0
71692,India,2020-02-03,3,0
71693,India,2020-02-04,3,0
71694,India,2020-02-05,3,0
71695,India,2020-02-06,3,0
71696,India,2020-02-07,3,0
71697,India,2020-02-08,3,0
71698,India,2020-02-09,3,0
71699,India,2020-02-10,3,0
71700,India,2020-02-11,3,0
71701,India,2020-02-12,3,0
71702,India,2020-02-13,3,0
71703,India,2020-02-14,3,0
71704,India,2020-02-15,3,0
71705,India,2020-02-16,3,0
71706,India,2020-02-17,3,0
71707,India,2020-02-18,3,0
71708,India,2020-02-19,3,0
71709,India,2020-02-20,3,0
71710,India,2020-02-21,3,0
71711,India,2020-02-22,3,0
71712,India,2020-02-23,3,0
71713,India,2020-02-24,3,0
71714,India,2020-02-25,3,0
71715,India,2020-02-26,3,0
71716,India,2020-02-27,3,0
71717,India,2020-02-28,3,0
71718,India,2020-02-29,3,0
71719,India,2020-03-01,3,0
71720,India,2020-03-02,5,0
71721,India,2020-03-03,5,0
71722,India,2020-03-04,28,0
71723,India,2020-03-05,30,0
71724,India,2020-03-06,31,0
71725,India,2020-03-07,34,0
71726,India,2020-03-08,39,0
71727,India,2020-03-09,43,0
71728,India,2020-03-10,56,0
71729,India,2020-03-11,62,1
71730,India,2020-03-12,73,1
71731,India,2020-03-13,82,2
71732,India,2020-03-14,102,2
71733,India,2020-03-15,113,2
71734,India,2020-03-16,119,2
71735,India,2020-03-17,142,3
71736,India,2020-03-18,156,3
71737,India,2020-03-19,194,4
71738,India,2020-03-20,244,5
71739,India,2020-03-21,330,4
71740,India,2020-03-22,396,7
71741,India,2020-03-23,499,10
71742,India,2020-03-24,536,10
71743,India,2020-03-25,657,12
71744,India,2020-03-26,727,20
71745,India,2020-03-27,887,20
71746,India,2020-03-28,987,24
71747,India,2020-03-29,1024,27
71748,India,2020-03-30,1251,32
71749,India,2020-03-31,1397,35
71750,India,2020-04-01,1998,58
71751,India,2020-04-02,2543,72
71752,India,2020-04-03,2567,72
71753,India,2020-04-04,3082,86
71754,India,2020-04-05,3588,99
71755,India,2020-04-06,4778,136
71756,India,2020-04-07,5311,150
71757,India,2020-04-08,5916,178
71758,India,2020-04-09,6725,226
71759,India,2020-04-10,7598,246
71760,India,2020-04-11,8446,288
71761,India,2020-04-12,9205,331
71762,India,2020-04-13,10453,358
71763,India,2020-04-14,11487,393
71764,India,2020-04-15,12322,405
71765,India,2020-04-16,13430,448
71766,India,2020-04-17,14352,486
71767,India,2020-04-18,15722,521
71768,India,2020-04-19,17615,559
71769,India,2020-04-20,18539,592
71770,India,2020-04-21,20080,645
71771,India,2020-04-22,21370,681
71772,India,2020-04-23,23077,721
71773,India,2020-04-24,24530,780
71774,India,2020-04-25,26283,825
71775,India,2020-04-26,27890,881
71776,India,2020-04-27,29451,939
71777,India,2020-04-28,31324,1008
71778,India,2020-04-29,33062,1079
71779,India,2020-04-30,34863,1154
71780,India,2020-05-01,37257,1223
71781,India,2020-05-02,39699,1323
71782,India,2020-05-03,42505,1391
71783,India,2020-05-04,46437,1566
71784,India,2020-05-05,49400,1693
71785,India,2020-05-06,52987,1785
71786,India,2020-05-07,56351,1889
71787,India,2020-05-08,59695,1985
71788,India,2020-05-09,62808,2101
71789,India,2020-05-10,67161,2212
71790,India,2020-05-11,70768,2294
71791,India,2020-05-12,74292,2415
71792,India,2020-05-13,78055,2551
71793,India,2020-05-14,81997,2649
71794,India,2020-05-15,85784,2753
71795,India,2020-05-16,90648,2871
71796,India,2020-05-17,95698,3025
71797,India,2020-05-18,100328,3156
71798,India,2020-05-19,106475,3302
71799,India,2020-05-20,112028,3434
71800,India,2020-05-21,118226,3584
71801,India,2020-05-22,124794,3726
71802,India,2020-05-23,131423,3868
71803,India,2020-05-24,138536,4024
71804,India,2020-05-25,144950,4172
71805,India,2020-05-26,150793,4344
71806,India,2020-05-27,158086,4534
71807,India,2020-05-28,165386,4711
71808,India,2020-05-29,173491,4980
71809,India,2020-05-30,181827,5185
71810,India,2020-05-31,190609,5408
71811,India,2020-06-01,198370,5608
71812,India,2020-06-02,207191,5829
71813,India,2020-06-03,216824,6088
71814,India,2020-06-04,226713,6363
71815,India,2020-06-05,236184,6649
71816,India,2020-06-06,246622,6946
71817,India,2020-06-07,257486,7207
71818,India,2020-06-08,265928,7473
71819,India,2020-06-09,276146,7750
71820,India,2020-06-10,286605,8102
71821,India,2020-06-11,297535,8498
71822,India,2020-06-12,308993,8884
71823,India,2020-06-13,320922,9195
71824,India,2020-06-14,332424,9520
71825,India,2020-06-15,343091,9900
71826,India,2020-06-16,354065,11903
71827,India,2020-06-17,366946,12237
71828,India,2020-06-18,380532,12573
71829,India,2020-06-19,395048,12948
71830,India,2020-06-20,410451,13254
71831,India,2020-06-21,425282,13699
71832,India,2020-06-22,440215,14011
71833,India,2020-06-23,456183,14476
71834,India,2020-06-24,473105,14894
71835,India,2020-06-25,490401,15301
71836,India,2020-06-26,508953,15685
71837,India,2020-06-27,528859,16095
71838,India,2020-06-28,548318,16475
71839,India,2020-06-29,566840,16893
71840,India,2020-06-30,585481,17400
71841,India,2020-07-01,604641,17834
71842,India,2020-07-02,625544,18213
71843,India,2020-07-03,648315,18655
71844,India,2020-07-04,673165,19268
71845,India,2020-07-05,697413,19693
71846,India,2020-07-06,719664,20159
71847,India,2020-07-07,742417,20642
71848,India,2020-07-08,767296,21129
71849,India,2020-07-09,793802,21604
71850,India,2020-07-10,820916,22123
71851,India,2020-07-11,849522,22673
71852,India,2020-07-12,878254,23174
71853,India,2020-07-13,906752,23727
71854,India,2020-07-14,936181,24309
71855,India,2020-07-15,968857,24914
71856,India,2020-07-16,1003832,25602
71857,India,2020-07-17,1039084,26273
71858,India,2020-07-18,1077781,26816
71859,India,2020-07-19,1118206,27497
71860,India,2020-07-20,1155338,28082
71861,India,2020-07-21,1193078,28732
71862,India,2020-07-22,1238798,29861
71863,India,2020-07-23,1288108,30601
71864,India,2020-07-24,1337024,31358
71865,India,2020-07-25,1385635,32060
71866,India,2020-07-26,1435616,32771
71867,India,2020-07-27,1480073,33408
71868,India,2020-07-28,1531669,34193
71869,India,2020-07-29,1581963,34955
71870,India,2020-07-30,1634746,35718
71871,India,2020-07-31,1695988,36511
71872,India,2020-08-01,1750723,37364
71873,India,2020-08-02,1803695,38135
71874,India,2020-08-03,1855745,38938
71875,India,2020-08-04,1908254,39795
71876,India,2020-08-05,1964536,40699
71877,India,2020-08-06,2027074,41585
71878,India,2020-08-07,2088611,42518
71879,India,2020-08-08,2153010,43379
71880,India,2020-08-09,2215074,44386
71881,India,2020-08-10,2268675,45257
71882,India,2020-08-11,2329638,46091
71883,India,2020-08-12,2396637,47033
71884,India,2020-08-13,2461190,48040
71885,India,2020-08-14,2525922,49036
71886,India,2020-08-15,2589952,49980
71887,India,2020-08-16,2647663,50921
71888,India,2020-08-17,2702681,51797
71889,India,2020-08-18,2767253,52888
71890,India,2020-08-19,2836925,53866
71891,India,2020-08-20,2905825,54849
71892,India,2020-08-21,2975701,55794
71893,India,2020-08-22,3044940,56706
71894,India,2020-08-23,3106348,57542
71895,India,2020-08-24,3167323,58390
71896,India,2020-08-25,3224547,59357
71897,India,2020-08-26,3310234,60472
71898,India,2020-08-27,3387500,61529
71899,India,2020-08-28,3463972,62550
71900,India,2020-08-29,3542733,63498
71901,India,2020-08-30,3621245,64469
71902,India,2020-08-31,3691166,65288
71903,India,2020-09-01,3769523,66333
71904,India,2020-09-02,3853406,67376
71905,India,2020-09-03,3936747,68472
71906,India,2020-09-04,4023179,69561
71907,India,2020-09-05,4113811,70626
71908,India,2020-09-06,4204613,71642
71909,India,2020-09-07,4280422,72775
71910,India,2020-09-08,4370128,73890
71911,India,2020-09-09,4465863,75062
71912,India,2020-09-10,4562414,76271
71913,India,2020-09-11,4659984,77472
71914,India,2020-09-12,4754356,78586
71915,India,2020-09-13,4846427,79722
71916,India,2020-09-14,4930236,80776
71917,India,2020-09-15,5020359,82066
71918,India,2020-09-16,5118253,83198
71919,India,2020-09-17,5214677,84372
71920,India,2020-09-18,5308014,85619
71921,India,2020-09-19,5400619,86752
71922,India,2020-09-20,5487580,87882
71923,India,2020-09-21,5562663,88935
71924,India,2020-09-22,5646010,90020
71925,India,2020-09-23,5732518,91149
71926,India,2020-09-24,5818570,92290
71927,India,2020-09-25,5903932,93379
71928,India,2020-09-26,5992532,94503
71929,India,2020-09-27,6074702,95542
71930,India,2020-09-28,6145291,96318
71931,India,2020-09-29,6225763,97497
71932,India,2020-09-30,6312584,98678
71933,India,2020-10-01,6394068,99773
71934,India,2020-10-02,6473544,100842
71935,India,2020-10-03,6549373,101782
71936,India,2020-10-04,6623815,102685
71937,India,2020-10-05,6685082,103569
71938,India,2020-10-06,6757131,104555
71939,India,2020-10-07,6835655,105526
71940,India,2020-10-08,6906151,106490
71941,India,2020-10-09,6979423,107416
71942,India,2020-10-10,7053806,108334
71943,India,2020-10-11,7120538,109150
71944,India,2020-10-12,7175880,109856
71945,India,2020-10-13,7239389,110586
71946,India,2020-10-14,7307097,111266
71947,India,2020-10-15,7370468,112161
71948,India,2020-10-16,7432680,112998
71949,India,2020-10-17,7494551,114031
71950,India,2020-10-18,7550273,114610
71951,India,2020-10-19,7597063,115197
71952,India,2020-10-20,7651107,115914
71953,India,2020-10-21,7706946,116616
71954,India,2020-10-22,7761312,117306
71955,India,2020-10-23,7814682,117956
71956,India,2020-10-24,7864811,118534
71957,India,2020-10-25,7909959,119014
71958,India,2020-10-26,7946429,119502
71959,India,2020-10-27,7990322,120010
71960,India,2020-10-28,8040203,120527
71961,India,2020-10-29,8088851,121090
71962,India,2020-10-30,8137119,121641
71963,India,2020-10-31,8184082,122111
71964,India,2020-11-01,8229313,122607
71965,India,2020-11-02,8267623,123097
71966,India,2020-11-03,8313876,123611
71967,India,2020-11-04,8364086,124315
71968,India,2020-11-05,8411724,124985
71969,India,2020-11-06,8462080,125562
71970,India,2020-11-07,8507754,126121
71971,India,2020-11-08,8553657,126611
71972,India,2020-11-09,8591730,127059
71973,India,2020-11-10,8636011,127571
71974,India,2020-11-11,8683916,128121
71975,India,2020-11-12,8728795,128668
71976,India,2020-11-13,8773479,129188
71977,India,2020-11-14,8814579,129635
71978,India,2020-11-15,8845127,130070
71979,India,2020-11-16,8874290,130519
71980,India,2020-11-17,8912907,130993
71981,India,2020-11-18,8958483,131578
71982,India,2020-11-19,9004365,132162
71983,India,2020-11-20,9050597,132726
71984,India,2020-11-21,9095806,133227
71985,India,2020-11-22,9139865,133738
71986,India,2020-11-23,9177840,134218
71987,India,2020-11-24,9222216,134699
71988,India,2020-11-25,9266705,135223
71989,India,2020-11-26,9309787,135715
71990,India,2020-11-27,9351109,136200
71991,India,2020-11-28,9392919,136696
71992,India,2020-11-29,9431691,137139
71993,India,2020-11-30,9462809,137621
71994,India,2020-12-01,9499413,138122
71995,India,2020-12-02,9534964,138648
71996,India,2020-12-03,9571559,139188
71997,India,2020-12-04,9608211,139700
71998,India,2020-12-05,9644222,140182
71999,India,2020-12-06,9677203,140573
72000,India,2020-12-07,9703770,140958
72001,India,2020-12-08,9735850,141360
72002,India,2020-12-09,9767371,141772
72003,India,2020-12-10,9796744,142185
72004,India,2020-12-11,9826775,142628
72005,India,2020-12-12,9857029,143019
72006,India,2020-12-13,9884100,143355
72007,India,2020-12-14,9906165,143709
72008,India,2020-12-15,9932547,144096
72009,India,2020-12-16,9956557,144451
72010,India,2020-12-17,9979447,144789
72011,India,2020-12-18,10004599,145136
72012,India,2020-12-19,10031223,145477
72013,India,2020-12-20,10055560,145810
72014,India,2020-12-21,10075116,146111
72015,India,2020-12-22,10099066,146444
72016,India,2020-12-23,10123778,146756
72017,India,2020-12-24,10146845,147092
72018,India,2020-12-25,10169118,147343
72019,India,2020-12-26,10187850,147622
72020,India,2020-12-27,10207871,147901
72021,India,2020-12-28,10224303,148153
72022,India,2020-12-29,10244852,148439
72023,India,2020-12-30,10266674,148738
72024,India,2020-12-31,10286709,148994
72025,India,2021-01-01,10305788,149218
72026,India,2021-01-02,10323965,149435
72027,India,2021-01-03,10340469,149649
72028,India,2021-01-04,10356844,149850
72029,India,2021-01-05,10374932,150114
72030,India,2021-01-06,10395278,150336
72031,India,2021-01-07,10413417,150570
72032,India,2021-01-08,10413417,150570
72033,India,2021-01-09,10450284,150999
72034,India,2021-01-10,10466595,151160
72035,India,2021-01-11,10479179,151327
72036,India,2021-01-12,10495147,151529
72037,India,2021-01-13,10512093,151727
72038,India,2021-01-14,10527683,151918
72039,India,2021-01-15,10542841,152093
72040,India,2021-01-16,10557985,152274
72041,India,2021-01-17,10571773,152419
72042,India,2021-01-18,10581823,152556
72043,India,2021-01-19,10595639,152718
72044,India,2021-01-20,10610883,152869
72045,India,2021-01-21,10625428,153032
72046,India,2021-01-22,10639684,153184
72047,India,2021-01-23,10654533,153339
72048,India,2021-01-24,10667736,153470
72049,India,2021-01-25,10676838,153587
72050,India,2021-01-26,10689527,153724
72051,India,2021-01-27,10701193,153847
72052,India,2021-01-28,10720048,154010
72053,India,2021-01-29,10733130,154147
72054,India,2021-01-30,10746174,154274
72055,India,2021-01-31,10757610,154392
72056,India,2021-02-01,10766245,154486
72057,India,2021-02-02,10777284,154596
72058,India,2021-02-03,10790183,154703
72059,India,2021-02-04,10802591,154823
72060,India,2021-02-05,10814304,154918
72061,India,2021-02-06,10826363,154996
72062,India,2021-02-07,10838194,155080
72063,India,2021-02-08,10847304,155158
72064,India,2021-02-09,10858371,155252
72065,India,2021-02-10,10871294,155360
72066,India,2021-02-11,10880603,155447
72067,India,2021-02-12,10892746,155550
72068,India,2021-02-13,10904940,155642
72069,India,2021-02-14,10916589,155732
72070,India,2021-02-15,10925710,155813
72071,India,2021-02-16,10937320,155913
72072,India,2021-02-17,10950201,156014
72073,India,2021-02-18,10963394,156111
72074,India,2021-02-19,10977387,156212
72075,India,2021-02-20,10991651,156302
72076,India,2021-02-21,11005850,156385
72077,India,2021-02-22,11016434,156463
72078,India,2021-02-23,11030176,156567
72079,India,2021-02-24,11046914,156705
72080,India,2021-02-25,11063491,156825
72081,India,2021-02-26,11079979,156938
72082,India,2021-02-27,11096731,157051
72083,India,2021-02-28,11112241,157157
72084,India,2021-03-01,11124527,157248
72085,India,2021-03-02,11139516,157346
72086,India,2021-03-03,11156923,157435
72087,India,2021-03-04,11173761,157548
72088,India,2021-03-05,11192045,157656
72089,India,2021-03-06,11210799,157756
72090,India,2021-03-07,11229398,157853
72091,India,2021-03-08,11244786,157930
72092,India,2021-03-09,11262707,158063
72093,India,2021-03-10,11285561,158189
72094,India,2021-03-11,11308846,158306
72095,India,2021-03-12,11333728,158446
72096,India,2021-03-13,11359048,158607
72097,India,2021-03-14,11385339,158725
72098,India,2021-03-15,11409831,158856
72099,India,2021-03-16,11438734,159044
72100,India,2021-03-17,11474605,159216
72101,India,2021-03-18,11514331,159370
72102,India,2021-03-19,11555284,159558
72103,India,2021-03-20,11599130,159755
72104,India,2021-03-21,11646081,159967
72105,India,2021-03-22,11686796,160166
72106,India,2021-03-23,11734058,160441
72107,India,2021-03-24,11787534,160692
72108,India,2021-03-25,11846652,160949
72109,India,2021-03-26,11908910,161240
72110,India,2021-03-27,11971624,161552
72111,India,2021-03-28,12039644,161843
72112,India,2021-03-29,12095855,162114
72113,India,2021-03-30,12149335,162468
72114,India,2021-03-31,12221665,162927
72115,India,2021-04-01,12303131,163396
72116,India,2021-04-02,12392260,164110
72117,India,2021-04-03,12485509,164623
72118,India,2021-04-04,12589067,165101
72119,India,2021-04-05,12686049,165547
72120,India,2021-04-06,12801785,166177
72121,India,2021-04-07,12928574,166862
72122,India,2021-04-08,13060542,167642
72123,India,2021-04-09,13205926,168436
72124,India,2021-04-10,13358805,169275
72125,India,2021-04-11,13527717,170179
72126,India,2021-04-12,13689453,171058
72127,India,2021-04-13,13873825,172085
72128,India,2021-04-14,14074564,173123
72129,India,2021-04-15,14291917,174308
72130,India,2021-04-16,14526609,175649
72131,India,2021-04-17,14788003,177150
72132,India,2021-04-18,15061805,178769
72133,India,2021-04-19,15320972,180530
72134,India,2021-04-20,15616130,182553
72135,India,2021-04-21,15930774,184657
72136,India,2021-04-22,16263695,186920
72137,India,2021-04-23,16610481,189544
72138,India,2021-04-24,16960172,192311
72139,India,2021-04-25,17313163,195123
72140,India,2021-04-26,17636186,197894
72141,India,2021-04-27,17997113,201187
72142,India,2021-04-28,18376421,204832
72143,India,2021-04-29,18762976,208330
72144,India,2021-04-30,19164969,211853
72145,India,2021-05-01,19557457,215542
